Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.022794,-0.019089,-0.003698,0.999551,0.013551,0.214989,0.027979,0.000102
1,0.020000,0.022831,-0.019017,-0.003590,0.999552,0.013551,0.215010,0.027980,0.000109
2,0.040000,-0.022717,0.018893,0.003432,-0.999558,0.013525,0.215008,0.027970,0.000104
3,0.060000,-0.022815,0.019089,0.003469,-0.999552,0.013526,0.215003,0.027975,0.000104
4,0.080000,-0.022826,0.019009,0.003644,-0.999552,0.013546,0.215006,0.027982,0.000113
5,0.100000,-0.022715,0.018921,0.003373,-0.999557,0.013521,0.215007,0.027977,0.000106
6,0.120000,-0.022751,0.018973,0.003639,-0.999555,0.013544,0.215011,0.027981,0.000109
7,0.140000,-0.022817,0.019010,0.003598,-0.999552,0.013544,0.215006,0.027987,0.000110
8,0.160000,-0.022782,0.018996,0.003647,-0.999553,0.013543,0.215007,0.027991,0.000113
9,0.180000,-0.022817,0.018919,0.003554,-0.999554,0.013531,0.215011,0.027988,0.000108
10,0.200000,-0.022755,0.019017,0.003346,-0.999555,0.013515,0.215007,0.027986,0.000105
11,0.220000,-0.022752,0.018976,0.003553,-0.999555,0.013533,0.215010,0.027989,0.000110
12,0.240000,-0.022752,0.018967,0.003354,-0.999556,0.013517,0.215005,0.027992,0.000107
13,0.260000,-0.022742,0.019075,0.003511,-0.999553,0.013527,0.215013,0.027986,0.000116
14,0.280000,-0.022727,0.019020,0.003528,-0.999555,0.013530,0.215015,0.027987,0.000109
15,0.300000,-0.022758,0.019038,0.003613,-0.999553,0.013545,0.215012,0.027995,0.000109
16,0.320000,-0.022845,0.019001,0.003619,-0.999552,0.013546,0.215006,0.027995,0.000108
17,0.340000,-0.022676,0.019036,0.003470,-0.999556,0.013528,0.215012,0.027978,0.000109
18,0.360000,-0.022821,0.018957,0.003633,-0.999553,0.013542,0.215006,0.027977,0.000109
19,0.380000,-0.022780,0.019056,0.003650,-0.999552,0.013550,0.215011,0.027982,0.000112
20,0.400000,-0.022839,0.019044,0.003596,-0.999551,0.013548,0.215007,0.027983,0.000115
21,0.420000,-0.022824,0.018969,0.003513,-0.999553,0.013534,0.215008,0.027977,0.000109
22,0.440000,-0.022742,0.018992,0.003451,-0.999555,0.013522,0.215008,0.027970,0.000107
23,0.460000,-0.022814,0.019068,0.003649,-0.999551,0.013554,0.215010,0.027984,0.000109
24,0.480000,-0.022792,0.019072,0.003586,-0.999552,0.013552,0.215007,0.027983,0.000110
25,0.500000,-0.022690,0.019021,0.003335,-0.999556,0.013530,0.215005,0.027982,0.000104
26,0.520000,-0.022677,0.019036,0.003382,-0.999556,0.013525,0.215013,0.027974,0.000110
27,0.540000,-0.022360,0.018698,0.003381,-0.999569,0.013531,0.215010,0.027959,0.000103
28,0.560000,-0.022792,0.019029,0.003437,-0.999553,0.013526,0.215009,0.027985,0.000110
29,0.580000,-0.022685,0.019096,0.003504,-0.999554,0.013536,0.215014,0.027984,0.000109
30,0.600000,-0.022786,0.018933,0.003421,-0.999555,0.013520,0.215008,0.027982,0.000107
31,0.620000,-0.022586,0.018799,0.003389,-0.999562,0.013524,0.215005,0.027982,0.000101
32,0.640000,-0.022840,0.019041,0.003569,-0.999551,0.013542,0.215007,0.027994,0.000112
33,0.660000,-0.022803,0.019071,0.003579,-0.999552,0.013538,0.215009,0.027991,0.000112
34,0.680000,-0.022755,0.019007,0.003515,-0.999554,0.013532,0.215009,0.027988,0.000105
35,0.700000,-0.022814,0.019036,0.003625,-0.999552,0.013539,0.215010,0.027989,0.000110
36,0.720000,-0.022777,0.019010,0.003625,-0.999553,0.013542,0.215005,0.027991,0.000112
37,0.740000,-0.022646,0.019144,0.003605,-0.999554,0.013540,0.215011,0.027983,0.000112
38,0.760000,-0.022362,0.018687,0.003426,-0.999569,0.013521,0.215003,0.027958,0.000101
39,0.780000,-0.022819,0.018936,0.003646,-0.999554,0.013540,0.215007,0.027983,0.000110
40,0.800000,-0.022852,0.019059,0.003637,-0.999551,0.013543,0.215007,0.027986,0.000117
